Habitat,Vegetation,Sample ID,Tube Mass (g),Tube + Soil Mass (g),Dry Soil Mass (g),ml water for pH (ml),"ml water for pH (rounded, ml)",total water to be added for WEOC (ml),"total water to be added for WEOC (rounded, ml)",water to be added after pH measurements (ml),GravimetricSoilWaterContent,%Dry Soil that is water,Water mass required to remoisten soil (g),Water volume required to remoisten soil (ml),average NPOC [mg/l],average TNb [mg/l],NPOC,TNb,Cnratio,Total water volume added to dry soil (ml),Total water volume added to dry soil (L),DOC Concentration (mgCperg),TNb Concentration (mgNperg)
Grassland,Bracken,GB1,10.2727,14.4608,4.1881,10.47025,10,16.7524,17,7,125.3249011,1.253249011,5.248732183,5.248732183,212.66,38.1225,212.66,38.1225,5.578332518,22.24873218,0.022248732,1.12972837,0.202520782
Grassland,Bracken,GB2,10.1991,15.3386,5.1395,12.84875,13,20.558,21,8,98.42464079,0.984246408,5.058534413,5.058534413,234.02333,28.8939,234.02333,28.8939,8.099402757,26.05853441,0.026058534,1.186556085,0.146499207
Grassland,Bracken,GB3,10.2491,14.325,4.0759,10.18975,10,16.3036,16,6,118.6962876,1.186962876,4.837941986,4.837941986,212.10333,27.14981,212.10333,27.14981,7.812333102,20.83794199,0.020837942,1.084373239,0.138802759
Grassland,Bracken,GB4,10.2957,15.486,5.1903,12.97575,13,20.7612,21,8,67.93628032,0.679362803,3.526096757,3.526096757,337.81333,35.97808,337.81333,35.97808,9.389420818,24.52609676,0.024526097,1.596293551,0.170009803
Grassland,Bracken,GB5,10.1501,14.8935,4.7434,11.8585,12,18.9736,19,7,94.60416306,0.946041631,4.487453871,4.487453871,220.75,24.91585,220.75,24.91585,8.859823347,23.48745387,0.023487454,1.093067302,0.123373504
Grassland,Non-Bracken,GN3,10.1776,14.8173,4.6397,11.59925,12,18.5588,19,7,98.2559558,0.982559558,4.558781581,4.558781581,548.97333,60.81643,548.97333,60.81643,9.026727867,23.55878158,0.023558782,2.787495479,0.308804668
Grassland,Non-Bracken,GN4,10.2873,14.7188,4.4315,11.07875,11,17.726,18,7,105.5347106,1.055347106,4.6767707,4.6767707,625.43,54.14766,625.43,54.14766,11.55045297,22.6767707,0.022676771,3.200436127,0.277083174
Grassland,Non-Bracken,GN5,10.2481,14.087,3.8389,9.59725,10,15.3556,15,5,52.5993694,0.525993694,2.019237192,2.019237192,607.2,33.61939,607.2,33.61939,18.06100408,17.01923719,0.017019237,2.691938009,0.149046958
Grassland,Non-Bracken,GN9,10.3196,14.3414,4.0218,10.0545,10,16.0872,16,6,197.6881028,1.976881028,7.950620118,7.950620118,504.3,52.22297,504.3,52.22297,9.656669619,23.95062012,0.02395062,3.003206953,0.310998187
Grassland,Non-Bracken,GN10,10.2193,14.7938,4.5745,11.43625,11,18.298,18,7,127.3969183,1.273969183,5.827772028,5.827772028,316.02,43.31852,316.02,43.31852,7.295263088,23.82777203,0.023827772,1.646093019,0.225638609
